post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47629433,iNaturalist,technology,44,8,bookofjoe,2026-04-03 23:34:42,0.17777777777777778,False
47629505,Solana Drift Protocol drained of 285M via fake token and governance hijack,technology,14,0,anonhaven,2026-04-03 23:34:43,0.0,False
47562325,Understanding young news audiences at a time of rapid change,technology,18,1,giuliomagnifico,2026-04-03 23:34:44,0.05263157894736842,False
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,19,9,denssumesh,2026-04-03 23:34:45,0.45,False
47567222,Samsung Magician disk utility takes 18 steps and two reboots to uninstall,technology,250,132,chalmovsky,2026-04-03 23:35:46,0.5258964143426295,True
47626462,BigEndian Testing with QEMU,technology,62,42,jandeboevrie,2026-04-03 23:35:47,0.6666666666666666,False
47624731,April 2026 TLDR Setup for Ollama and Gemma 4 26B on a Mac mini,technology,226,91,greenstevester,2026-04-03 23:35:48,0.4008810572687225,True
47629116,Go on Embedded Systems and WebAssembly,technology,15,0,uticus,2026-04-03 23:35:49,0.0,False
47560967,A Recipe for Steganogravy,technology,94,21,tbrockman,2026-04-03 23:35:50,0.22105263157894736,False
47622616,The Technocracy Movement of the 1930s,technology,18,4,lazydogbrownfox,2026-04-03 23:35:52,0.21052631578947367,False
47624811,SSH certificates the better SSH experience,technology,132,55,jandeboevrie,2026-04-03 23:35:53,0.41353383458646614,False
47627527,Build your own Dialup ISP with a Raspberry Pi,technology,22,3,arjunbajaj,2026-04-03 23:35:54,0.13043478260869565,False
47624645,Show HN Apfel  The free AI already on your Mac,technology,544,122,franze,2026-04-03 23:35:55,0.22385321100917432,True
47561426,What Category Theory Teaches Us About DataFrames,technology,141,42,mchav,2026-04-03 23:35:55,0.29577464788732394,False
47561678,ESP32S31 DualCore RISCV SoC with WiFi 6 Bluetooth 54 and Advanced HMI,technology,158,86,topspin,2026-04-03 23:35:56,0.5408805031446541,False
47625639,TDF ejects its core developers,technology,119,78,janvdberg,2026-04-03 23:35:57,0.65,False
47628608,If youre running OpenClaw you probably got hacked in the last week,technology,112,53,kykeonaut,2026-04-03 23:35:58,0.4690265486725664,False
47629013,Mercurial Dyson  a plan for the disassembly of planet Mercury,technology,22,10,indy,2026-04-03 23:35:59,0.43478260869565216,False
47627061,Solar and batteries can power the world,technology,206,300,edent,2026-04-03 23:36:00,1.4492753623188406,False
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,technology,254,107,chrisjj,2026-04-03 23:36:01,0.4196078431372549,True
47579818,What we learned building 100 API integrations with OpenCode,technology,70,16,rguldener,2026-04-03 23:36:01,0.22535211267605634,False
47624804,Category Theory Illustrated  Types,technology,47,1,boris_m,2026-04-03 23:36:02,0.020833333333333332,False
47573728,Intel Assured Supply Chain Product Brief,technology,44,9,aw-engineer,2026-04-03 23:36:03,0.2,False
47618189,Tailscales new macOS home,technology,531,280,tosh,2026-04-03 23:36:04,0.5263157894736842,True
47616361,Google releases Gemma 4 open models,technology,1684,446,jeffmcjunkin,2026-04-03 23:36:05,0.26468842729970327,True
47618084,Cursor 3,worldnews,516,376,adamfeldman,2026-04-03 23:36:31,0.7272727272727273,True
47609356,Artemis IIs toilet is a moon mission milestone,worldnews,313,149,1659447091,2026-04-03 23:36:33,0.4745222929936306,True
47616242,Decisions that eroded trust in Azure  by a former Azure Core engineer,worldnews,1099,522,axelriet,2026-04-03 23:36:37,0.47454545454545455,True
47598413,C89ccsh  standalone C89ELF64 compiler in pure portable shell,worldnews,181,58,gaigalas,2026-04-03 23:36:37,0.31868131868131866,False
47629272,Artemis II astronaut I have two Microsoft Outlooks and neither are working,worldnews,7,1,Bender,2026-04-03 23:37:40,0.125,False
47629306,Pharmaceuticals face 100 tariffs in US  unless firms strike a deal,worldnews,20,12,geox,2026-04-03 23:37:41,0.5714285714285714,False
47561913,Vector Meson Dominance,worldnews,51,6,chmaynard,2026-04-03 23:37:42,0.11538461538461539,False
47593861,Maze Algorithms 1997,worldnews,83,31,marukodo,2026-04-03 23:37:43,0.36904761904761907,False
47562762,Significant progress made on Xbox 360 recompilation,worldnews,147,30,tetrisgm,2026-04-03 23:37:44,0.20270270270270271,False
47618176,George Goble has died,worldnews,165,38,finaard,2026-04-03 23:37:45,0.2289156626506024,False
47621825,I Built an SMS Gateway with a 20 Android Phone  Jonnonz,worldnews,73,30,jonno-nz,2026-04-03 23:37:47,0.40540540540540543,False
47625629,Squarified Treemap Algorithm,worldnews,10,2,downboots,2026-04-03 23:37:48,0.18181818181818182,False
47572288,JSON Canvas Spec 2024,worldnews,126,37,tobr,2026-04-03 23:37:49,0.29133858267716534,False
47624691,HarfBuzz Slug Support with WebGL,worldnews,20,4,mcraiha,2026-04-03 23:37:50,0.19047619047619047,False
47621448,A Few Good Magazines From the 70s and 80s,worldnews,66,28,OhMeadhbh,2026-04-03 23:37:52,0.417910447761194,False
47615002,Qwen36Plus Towards real world agents,worldnews,569,197,pretext,2026-04-03 23:37:53,0.3456140350877193,True
47551847,The Joy of Numbered Streets,worldnews,59,36,dmit,2026-04-03 23:37:55,0.6,False
47614100,Backrooms and the Rise of the Institutional Gothic,worldnews,210,102,anarbadalov,2026-04-03 23:37:56,0.4834123222748815,False
47603657,Artemis II Launch Day Updates,worldnews,1086,940,apitman,2026-04-03 23:37:57,0.8647654093836247,True
47624990,Adobe wrote to my hosts file Ive never had an app do this before,worldnews,70,17,speckx,2026-04-03 23:37:59,0.23943661971830985,False
47626258,The more evidence behind a therapy the less the public trusts it,worldnews,26,11,clumsysmurf,2026-04-03 23:38:00,0.4074074074074074,False
47628860,Meta Has a New Linux Optimization Avoid Throttling TCP Throughput Unnecessarily,worldnews,5,0,Bender,2026-04-03 23:38:00,0.0,False
47624440,A CSS Engine in OCaml,worldnews,10,0,p4bl0,2026-04-03 23:38:01,0.0,False
47611481,Bringing Clojure programming to Enterprise 2021,worldnews,196,112,smartmic,2026-04-03 23:38:02,0.5685279187817259,False
47582987,Gone Almost Phishin,worldnews,180,87,luu,2026-04-03 23:38:05,0.48066298342541436,False
47613981,LinkedIn is searching your browser extensions,sports,1839,740,digitalWestie,2026-04-03 23:39:11,0.40217391304347827,True
